ACC:-1546,-566,16476;GYRO:-143,-395,-428;
ACC:-1495,-583,16480;GYRO:-155,-398,-375;
ACC:-1445,-590,16486;GYRO:-169,-397,-296;
ACC:-1452,-603,16480;GYRO:-183,-397,-220;
ACC:-1497,-612,16471;GYRO:-187,-393,-177;
ACC:-1534,-619,16465;GYRO:-192,-391,-144;
ACC:-1556,-623,16463;GYRO:-197,-391,-121;
ACC:-1569,-625,16465;GYRO:-202,-393,-100;
ACC:-1583,-627,16467;GYRO:-205,-394,-83;
ACC:-1576,-620,16472;GYRO:-199,-395,-116;
ACC:-1569,-614,16476;GYRO:-196,-397,-127;
ACC:-1535,-606,16482;GYRO:-195,-395,-123;
ACC:-1516,-605,16485;GYRO:-188,-396,-156;
ACC:-1454,-599,16500;GYRO:-180,-397,-195;
ACC:-1369,-593,16513;GYRO:-181,-402,-209;
ACC:-1300,-590,16525;GYRO:-179,-405,-219;
ACC:-1242,-588,16532;GYRO:-178,-406,-221;
ACC:-1192,-584,16537;GYRO:-177,-406,-222;
ACC:-1153,-583,16538;GYRO:-175,-406,-223;
ACC:-1119,-580,16537;GYRO:-176,-406,-224;
ACC:-1000,-616,16341;GYRO:-183,-418,-226;
ACC:-904,-646,16184;GYRO:-190,-427,-228;
ACC:-827,-668,16056;GYRO:-195,-436,-229;
ACC:-763,-684,15951;GYRO:-200,-443,-230;
ACC:-711,-698,15869;GYRO:-203,-447,-230;
ACC:-669,-708,15801;GYRO:-206,-451,-231;
ACC:-639,-715,15751;GYRO:-208,-454,-232;
ACC:-615,-724,15714;GYRO:-209,-456,-233;
ACC:-594,-729,15687;GYRO:-211,-459,-234;
ACC:-580,-734,15668;GYRO:-210,-459,-234;
ACC:-663,-698,15850;GYRO:-202,-447,-233;
ACC:-730,-668,15989;GYRO:-196,-437,-233;
ACC:-785,-645,16097;GYRO:-192,-429,-233;
ACC:-829,-628,16183;GYRO:-188,-423,-232;
ACC:-864,-613,16253;GYRO:-186,-418,-233;
ACC:-893,-602,16309;GYRO:-184,-413,-233;
ACC:-916,-591,16351;GYRO:-183,-410,-233;
ACC:-934,-583,16382;GYRO:-181,-407,-233;
ACC:-949,-579,16406;GYRO:-180,-405,-233;
ACC:-961,-575,16424;GYRO:-179,-404,-234;
ACC:-971,-572,16437;GYRO:-178,-404,-234;
ACC:-981,-572,16449;GYRO:-177,-404,-234;
ACC:-988,-571,16463;GYRO:-175,-403,-234;
ACC:-995,-571,16477;GYRO:-176,-403,-233;
ACC:-1001,-571,16486;GYRO:-175,-404,-233;
ACC:-1003,-571,16492;GYRO:-174,-405,-231;
ACC:-1003,-572,16499;GYRO:-175,-404,-231;
ACC:-1001,-572,16502;GYRO:-176,-404,-230;
ACC:-999,-571,16506;GYRO:-176,-405,-229;
ACC:-995,-570,16507;GYRO:-177,-405,-230;
ACC:-991,-569,16510;GYRO:-178,-404,-230;
ACC:-984,-568,16511;GYRO:-179,-403,-230;
ACC:-976,-569,16511;GYRO:-180,-402,-230;
ACC:-969,-570,16509;GYRO:-180,-402,-231;
ACC:-965,-572,16510;GYRO:-179,-401,-231;
ACC:-963,-573,16512;GYRO:-179,-400,-232;
ACC:-965,-573,16514;GYRO:-179,-400,-232;
ACC:-971,-574,16517;GYRO:-179,-400,-233;
ACC:-972,-574,16520;GYRO:-179,-399,-232;
ACC:-974,-573,16526;GYRO:-178,-398,-232;
ACC:-976,-572,16532;GYRO:-178,-398,-232;
ACC:-981,-573,16537;GYRO:-178,-399,-232;
ACC:-987,-573,16541;GYRO:-178,-400,-232;
ACC:-993,-572,16547;GYRO:-177,-401,-231;
ACC:-997,-570,16552;GYRO:-176,-402,-230;
ACC:-1000,-571,16557;GYRO:-176,-403,-229;
ACC:-999,-572,16560;GYRO:-175,-403,-228;
ACC:-996,-574,16563;GYRO:-176,-404,-228;
ACC:-996,-578,16562;GYRO:-177,-404,-228;
ACC:-997,-583,16559;GYRO:-178,-405,-227;
ACC:-996,-590,16556;GYRO:-178,-405,-227;
ACC:-997,-596,16556;GYRO:-178,-404,-226;
ACC:-996,-600,16557;GYRO:-178,-404,-226;
ACC:-994,-602,16554;GYRO:-178,-403,-227;
ACC:-993,-605,16549;GYRO:-179,-402,-228;
